"id","created","description","key","priority","project","project_name","repositoryname","resolution","resolved","status","title","type","updated","votes","watchers","assignee_id","reporter_id"
16037,"2011-06-16 22:07:44.375","traverseNode in DataTree will never actually traverse the limit nodes properly.","ZOOKEEPER-1097","Blocker","ZOOKEEPER","ZooKeeper","ASF","Fixed","2011-06-27 07:30:59.505","Closed","Quota is not correctly rehydrated on snapshot reload","Bug","2011-11-24 03:22:06.217",0,0,7832,7832
16615,"2009-08-07 08:57:50.287","when calling the asynchronous version of create, the completion routine is called more than once.","ZOOKEEPER-502","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2010-01-27 07:19:07.334","Closed","bookkeeper create calls completion too many times","Bug","2010-03-27 01:24:56.283",0,0,7750,7829
16189,"2010-11-20 06:12:26.124","test -e FILENAME is not support on /bin/sh in solaris. This is used in bin/zkEnv.sh. We can substitute test -f FILENAME. Attaching a patch.","ZOOKEEPER-937","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2010-12-08 03:02:17.059","Closed","test -e not available on solaris /bin/sh","Bug","2011-11-24 03:21:59.751",0,0,8219,8219
16616,"2009-08-07 06:11:42.25","It timed out according to the console output:http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/406/testReport/org.apache.zookeeper.test/CnxManagerTest/testCnxManager/","ZOOKEEPER-501","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2009-08-08 05:03:30.561","Closed","CnxManagerTest failed on hudson","Bug","2009-09-06 06:36:20.729",0,0,7750,7750
16934,"2008-10-07 04:50:15.001","fast leader election test failing .","ZOOKEEPER-178","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2008-10-11 07:16:55.237","Closed","FLE test.","Bug","2008-10-26 09:10:43.46",0,0,7750,7827
16989,"2008-08-25 03:29:13.949","Copy and paste strikes again.  In two logger instantiations, the wrong class is passed to the constructor.  In ClientTest.java and ClientCnxn.java","ZOOKEEPER-123","Minor","ZOOKEEPER","ZooKeeper","ASF","Fixed","2008-08-26 02:17:05.262","Closed","In two places, the wrong class is specified for the logger","Bug","2008-10-26 09:10:42.131",0,0,8066,8066
17003,"2008-08-02 06:01:07.69","NPE/ResourceLeak cleanup for issues found during static analysis.","ZOOKEEPER-109","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2008-08-09 03:14:00.251","Closed","cleanup of NPE and Resource issue nits found by static analysis","Bug","2008-10-26 09:10:41.752",1,0,7818,7818
16811,"2009-02-06 22:06:17.352","Macs don't support the -f option in readlink{noformat}$ bin/zkServer.sh startJMX enabled by defaultreadlink: illegal option -- fusage: readlink [-n] [file ...]{noformat}","ZOOKEEPER-303","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2009-02-11 02:41:20.272","Closed","Bin scripts don't work on Mac","Bug","2011-01-06 11:45:21.761",0,1,8367,8367
16755,"2009-04-03 00:32:07.732","We need a strong reference to prevent a key in masterKeys on Bookie.java to be garbage collected.","ZOOKEEPER-360","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2009-04-04 05:43:56.226","Closed","WeakHashMap in Bookie.java causes NPE","Bug","2009-07-09 04:24:02.452",0,0,7750,7750
16701,"2009-05-22 04:29:44.15","the c tests hang sometimes. ","ZOOKEEPER-415","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2009-05-22 15:25:56.259","Closed","zookeeper c tests hang.","Bug","2009-07-09 04:24:04.856",0,1,7827,7827
15801,"2011-12-20 09:24:33.917","I think a NPE was created in the fix for https://issues.apache.org/jira/browse/ZOOKEEPER-1269Looking in DataTree.processTxn(TxnHeader header, Record txn) it seems likely that if rc.err != Code.OK then rc.path will be null. I'm currently working on a minimal test case for the bug, I'll attach it to this issue when it's ready.java.lang.NullPointerException	at org.apache.zookeeper.server.persistence.FileTxnSnapLog.processTransaction(FileTxnSnapLog.java:203)	at org.apache.zookeeper.server.persistence.FileTxnSnapLog.restore(FileTxnSnapLog.java:150)	at org.apache.zookeeper.server.ZKDatabase.loadDataBase(ZKDatabase.java:223)	at org.apache.zookeeper.server.quorum.QuorumPeer.loadDataBase(QuorumPeer.java:418)	at org.apache.zookeeper.server.quorum.QuorumPeer.start(QuorumPeer.java:410)	at org.apache.zookeeper.server.quorum.QuorumPeerMain.runFromConfig(QuorumPeerMain.java:151)	at org.apache.zookeeper.server.quorum.QuorumPeerMain.initializeAndRun(QuorumPeerMain.java:111)	at org.apache.zookeeper.server.quorum.QuorumPeerMain.main(QuorumPeerMain.java:78)","ZOOKEEPER-1333","Blocker","ZOOKEEPER","ZooKeeper","ASF","Fixed","2011-12-22 04:40:04.133","Closed","NPE in FileTxnSnapLog when restarting a cluster","Bug","2011-12-30 07:46:54.22",0,6,7818,8099
15811,"2011-12-09 09:28:16.547","EAI_NODATA and EAI_ADDRFAMILY have been deprecated in FreeBSD. I'm getting this error:src/zookeeper.c: In function `getaddrinfo_errno':src/zookeeper.c:446: error: `EAI_NODATA' undeclared (first use in this function)src/zookeeper.c:446: error: (Each undeclared identifier is reported only oncesrc/zookeeper.c:446: error: for each function it appears in.)src/zookeeper.c: In function `getaddrs':src/zookeeper.c:581: error: `EAI_ADDRFAMILY' undeclared (first use in this function)I'll submit a patch.--Michi","ZOOKEEPER-1323","Major","ZOOKEEPER","ZooKeeper","ASF","Fixed","2011-12-15 07:19:38.105","Closed","c client doesn't compile on freebsd","Bug","2011-12-30 07:46:53.97",0,0,7800,7800
15815,"2011-12-06 11:06:10.836","I've been trying to update to ZK 3.4.0 and have had some issues where some data become inaccessible after adding a node to a cluster.  My use case is a bit strange (as explained before on this list) in that I try to grow the cluster dynamically by having an external program automatically restart Zookeeper servers in a controlled way whenever the list of participating ZK servers needs to change.  This used to work just fine in 3.3.3 (and before), so this represents a regression.The scenario I see is this:1) Start up a 1-server ZK cluster (the server has ZK ID 0).2) A client connects to the server, and makes a bunch of znodes, in particular a znode called ""/membership"".3) Shut down the cluster.4) Bring up a 2-server ZK cluster, including the original server 0 with its existing data, and a new server with ZK ID 1.5) Node 0 has the highest zxid and is elected leader.6) A client connecting to server 1 tries to ""get /membership"" and gets back a -101 error code (no such znode).7) The same client then tries to ""create /membership"" and gets back a -110 error code (znode already exists).8) Clients connecting to server 0 can successfully ""get /membership"".I will attach a tarball with debug logs for both servers, annotating where steps #1 and #4 happen.  You can see that the election involves a proposal for zxid 110 from server 0, but immediately following the election server 1 has these lines:2011-12-05 17:18:48,308 9299 [QuorumPeer[myid=1]/127.0.0.1:2901] WARN org.apache.zookeeper.server.quorum.Learner  - Got zxid 0x100000001 expected 0x12011-12-05 17:18:48,313 9304 [SyncThread:1] INFO org.apache.zookeeper.server.persistence.FileTxnLog  - Creating new log file: log.100000001Perhaps that's not relevant, but it struck me as odd.  At the end of server 1's log you can see a repeated cycle of getData->create->getData as the client tries to make sense of the inconsistent responses.The other piece of information is that if I try to use the on-disk directories for either of the servers to start a new one-node ZK cluster, all the data are accessible.I haven't tried writing a program outside of my application to reproduce this, but I can do it very easily with some of my app's tests if anyone needs more information.","ZOOKEEPER-1319","Blocker","ZOOKEEPER","ZooKeeper","ASF","Fixed","2011-12-10 03:09:12.572","Closed","Missing data after restarting+expanding a cluster","Bug","2011-12-17 09:33:57.89",0,3,7818,8053
